neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Aleppo,1102,1561,37,16,19,4688,326,2374,96,2316,230,2022-04-11
Allegheny Center (Pittsburgh),1011,1185,80,5,14,2900,374,379,47,2522,327,2022-04-11
Allegheny West (Pittsburgh),349,392,61,0,5,1217,109,240,17,977,92,2022-04-11
Allentown (Pittsburgh),1489,2296,176,2,33,5217,617,1275,83,3939,534,2022-04-11
Arlington (Pittsburgh),1075,1739,216,9,29,4386,519,1051,105,3332,413,2022-04-11
Arlington Heights (Pittsburgh),148,149,11,3,3,551,42,90,10,461,32,2022-04-11
Aspinwall,2100,1967,66,1,11,6915,593,1613,146,5293,446,2022-04-11
Avalon,2998,4537,314,12,57,11211,1142,2509,241,8705,900,2022-04-11
Baldwin Borough,14403,23747,1482,72,294,50722,6449,13289,1624,37435,4812,2022-04-11
Baldwin Township,1354,1891,98,1,13,4196,608,1104,187,3094,418,2022-04-11
Banksville (Pittsburgh),3022,3834,267,17,32,10714,1158,3760,316,6957,840,2022-04-11
Bedford Dwellings (Pittsburgh),780,1071,122,6,37,2402,334,399,30,2004,304,2022-04-11
Beechview (Pittsburgh),5007,6805,421,16,81,16371,2061,3499,460,12869,1597,2022-04-11
Bell Acres,974,802,16,5,9,2506,304,609,62,1896,241,2022-04-11
Bellevue,5161,6978,585,10,62,16804,1927,4025,411,12746,1514,2022-04-11
Beltzhoover (Pittsburgh),992,1346,175,5,43,3079,430,454,45,2625,385,2022-04-11
Ben Avon,1351,1206,52,4,9,3787,416,915,93,2861,322,2022-04-11
Ben Avon Heights,299,218,12,0,0,912,88,210,15,699,73,2022-04-11
Bethel Park,22839,32132,2047,95,270,77328,8767,20449,2394,56782,6327,2022-04-11
Blawnox,859,962,52,4,14,2860,282,626,75,2227,205,2022-04-11
Bloomfield (Pittsburgh),6602,7244,473,10,59,25132,1934,3627,334,21505,1598,2022-04-11
Bluff (Pittsburgh),12989,16168,984,4,48,49295,2837,33171,1196,16117,1635,2022-04-11
Bon Air (Pittsburgh),501,547,27,2,12,1542,218,309,48,1234,170,2022-04-11
